source,frame,label,knee_angle,hip_angle,back_angle,torso_length_ratio,heel_angle,heel_angle_delta,valgus_ratio,left_fppa,right_fppa,max_fppa,knee_over_toes,knee_velocity_dps,hip_velocity_dps,back_velocity_dps,max_angular_velocity_dps,rapid_movement,squat_phase,back_slack,heels_off,knee_valgus_ratio,knee_valgus_fppa,knee_valgus
test/Bad Back/Bad Back (122).jpg,0,bad_back,74.973,55.95,109.261,0.9103,2.862,-140.119,0.8596,105.027,100.9,105.027,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Back/Bad Back (123).jpg,0,bad_back,72.405,51.54,105.778,0.9108,1.73,-141.251,1.0814,107.595,107.128,107.595,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Back/Bad Back (124).jpg,0,bad_back,70.363,49.656,104.362,0.9261,1.829,-141.152,0.9339,109.637,106.819,109.637,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Back/Bad Back (125).jpg,0,bad_back,70.394,47.93,102.816,0.9158,2.263,-140.718,1.1008,109.606,107.441,109.606,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Back/Bad Back (126).jpg,0,bad_back,68.834,46.095,101.344,0.9243,0.255,-142.726,1.0966,111.166,108.552,111.166,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Back/Bad Back (127).jpg,0,bad_back,68.553,45.446,101.944,0.8981,1.677,-141.304,1.003,111.447,106.837,111.447,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Back/Bad Back (128).jpg,0,bad_back,67.105,45.099,100.529,0.9291,0.673,-142.308,1.1874,112.895,112.67,112.895,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Back/Bad Back (129).jpg,0,bad_back,67.775,45.028,99.972,0.9291,1.705,-141.277,1.1116,112.225,114.994,114.994,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Back/Bad Back (13).jpg,0,bad_back,175.126,79.282,76.266,1.0,133.587,0.0,2.8029,4.874,23.007,23.007,0,0.0,0.0,0.0,0.0,0,top,0,0,0,1,1
test/Bad Back/Bad Back (130).jpg,0,bad_back,68.94,45.007,100.37,0.9513,1.453,-132.134,1.0917,111.06,111.974,111.974,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Bad Back/Bad Back (131).jpg,0,bad_back,69.841,47.084,101.041,0.941,0.303,-133.284,0.8259,110.159,111.301,111.301,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Bad Back/Bad Back (132).jpg,0,bad_back,67.806,48.09,102.219,0.9477,1.195,-132.392,1.0389,112.194,109.773,112.194,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Bad Back/Bad Back (133).jpg,0,bad_back,69.936,50.151,106.483,0.9449,4.973,-128.614,0.76,110.064,106.405,110.064,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Bad Back/Bad Back (134).jpg,0,bad_back,73.099,54.099,109.18,0.9424,4.93,-128.657,0.7373,106.901,100.973,106.901,0,0.0,0.0,0.0,0.0,0,bottom,0,0,1,1,1
test/Bad Back/Bad Back (135).jpg,0,bad_back,77.822,60.613,111.926,0.9624,5.453,-128.135,0.743,102.178,95.724,102.178,0,0.0,0.0,0.0,0.0,0,bottom,0,0,1,1,1
test/Bad Back/Bad Back (136).jpg,0,bad_back,78.454,62.188,115.203,0.9656,2.745,-130.842,0.6647,101.546,93.743,101.546,0,0.0,0.0,0.0,0.0,0,bottom,0,0,1,1,1
test/Bad Back/Bad Back (137).jpg,0,bad_back,83.906,68.865,118.016,0.9748,0.49,-133.097,0.6755,96.094,92.561,96.094,0,0.0,0.0,0.0,0.0,0,bottom,0,0,1,1,1
test/Bad Back/Bad Back (138).jpg,0,bad_back,88.998,75.503,123.273,0.9742,4.876,-128.712,0.7686,91.002,87.244,91.002,1,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Bad Back/Bad Back (139).jpg,0,bad_back,91.115,74.503,121.389,0.9338,1.593,-131.994,0.9156,88.885,85.17,88.885,1,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Bad Back/Bad Back (14).jpg,0,bad_back,178.176,68.044,69.163,1.0,145.084,0.0,1.7928,1.824,4.785,4.785,0,0.0,0.0,0.0,0.0,0,top,0,0,0,0,0
test/Bad Back/Bad Back (140).jpg,0,bad_back,86.82,69.334,119.748,0.8794,1.493,-143.592,1.0521,93.18,85.18,93.18,1,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Back/Bad Back (141).jpg,0,bad_back,83.246,64.85,115.316,0.8971,2.162,-142.922,1.205,96.754,89.583,96.754,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Back/Bad Back (142).jpg,0,bad_back,81.79,62.621,113.477,0.8777,1.357,-143.727,0.9678,98.21,92.584,98.21,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Back/Bad Back (143).jpg,0,bad_back,78.269,59.734,113.179,0.8729,3.32,-141.764,1.0493,101.731,97.3,101.731,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Back/Bad Back (144).jpg,0,bad_back,76.748,56.039,109.745,0.8743,0.588,-144.496,0.869,103.252,99.693,103.252,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Back/Bad Back (145).jpg,0,bad_back,74.328,55.393,112.099,0.8547,2.114,-142.97,1.389,105.672,98.731,105.672,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Back/Bad Back (146).jpg,0,bad_back,71.027,50.608,109.277,0.8716,0.545,-144.54,0.8672,108.973,101.355,108.973,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Back/Bad Back (147).jpg,0,bad_back,72.052,49.204,106.814,0.8758,2.904,-142.181,0.9697,107.948,101.424,107.948,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Back/Bad Back (148).jpg,0,bad_back,71.161,47.119,103.417,0.8872,5.167,-139.917,1.1784,108.839,102.137,108.839,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Back/Bad Back (149).jpg,0,bad_back,69.632,44.134,100.584,0.9103,0.08,-145.005,1.2483,110.368,103.326,110.368,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Back/Bad Back (15).jpg,0,bad_back,176.105,156.569,154.602,1.0,160.725,0.0,0.5673,3.895,0.753,3.895,1,0.0,0.0,0.0,0.0,0,top,0,0,1,0,1
test/Bad Back/Bad Back (150).jpg,0,bad_back,69.917,44.055,100.686,0.8546,3.615,-157.11,1.1017,110.083,103.899,110.083,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Back/Bad Back (151).jpg,0,bad_back,70.602,45.84,101.854,0.8537,2.063,-158.662,0.8928,109.398,104.969,109.398,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Back/Bad Back (152).jpg,0,bad_back,72.546,50.799,106.531,0.842,0.954,-159.772,0.6745,107.454,103.166,107.454,0,0.0,0.0,0.0,0.0,0,bottom,1,0,1,1,1
test/Bad Heel/Bad Heel (1).jpg,0,bad_heel,78.103,87.813,145.526,1.1871,18.093,-142.632,1.3186,101.897,92.292,101.897,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Bad Heel/Bad Heel (10).jpg,0,bad_heel,58.664,73.826,146.897,1.1316,23.038,-137.687,0.7627,121.336,122.029,122.029,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Bad Heel/Bad Heel (100).jpg,0,bad_heel,64.307,82.167,143.404,0.9402,8.782,-151.943,0.9934,115.693,113.361,115.693,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Bad Heel/Bad Heel (101).jpg,0,bad_heel,72.72,93.254,149.855,0.8836,9.265,-151.46,1.1734,107.28,103.115,107.28,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (102).jpg,0,bad_heel,69.218,89.545,146.183,0.9572,7.77,-152.956,0.7427,110.782,109.497,110.782,0,0.0,0.0,0.0,0.0,0,bottom,0,0,1,1,1
test/Bad Heel/Bad Heel (103).jpg,0,bad_heel,74.256,95.577,148.317,0.9516,8.07,-152.655,1.1408,105.744,99.669,105.744,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Bad Heel/Bad Heel (104).jpg,0,bad_heel,86.076,106.389,154.777,0.9112,10.723,-150.002,0.9338,93.924,88.865,93.924,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (105).jpg,0,bad_heel,91.114,91.158,137.775,0.9113,17.719,-143.007,1.0055,88.886,86.81,88.886,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (106).jpg,0,bad_heel,85.897,85.415,134.63,0.8993,19.826,-140.9,0.8777,94.103,92.56,94.103,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (107).jpg,0,bad_heel,80.605,84.168,136.214,0.9039,18.624,-142.101,1.0803,99.395,93.802,99.395,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (108).jpg,0,bad_heel,78.484,85.373,140.024,0.8709,19.517,-141.209,0.8774,101.516,100.044,101.516,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (109).jpg,0,bad_heel,72.665,81.839,140.62,0.8666,21.068,-139.657,1.0188,107.335,104.155,107.335,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (11).jpg,0,bad_heel,55.69,71.829,145.88,1.1476,23.444,-137.281,0.6394,124.31,125.742,125.742,0,0.0,0.0,0.0,0.0,0,bottom,0,0,1,1,1
test/Bad Heel/Bad Heel (110).jpg,0,bad_heel,70.507,80.418,142.121,0.8173,19.696,-141.03,1.1116,109.493,104.317,109.493,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (111).jpg,0,bad_heel,67.477,78.303,140.86,0.8165,19.549,-141.176,0.8686,112.523,111.196,112.523,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (112).jpg,0,bad_heel,63.436,76.218,139.898,0.846,20.953,-139.773,0.6258,116.564,122.512,122.512,0,0.0,0.0,0.0,0.0,0,bottom,1,0,1,1,1
test/Bad Heel/Bad Heel (113).jpg,0,bad_heel,61.184,74.74,141.041,0.8251,21.055,-139.67,0.6844,118.816,123.92,123.92,0,0.0,0.0,0.0,0.0,0,bottom,1,0,1,1,1
test/Bad Heel/Bad Heel (114).jpg,0,bad_heel,58.479,73.778,142.415,0.8112,17.34,-143.385,0.6042,121.521,126.671,126.671,0,0.0,0.0,0.0,0.0,0,bottom,1,0,1,1,1
test/Bad Heel/Bad Heel (115).jpg,0,bad_heel,58.752,75.123,143.747,0.8004,21.013,-139.712,0.4727,121.248,127.522,127.522,0,0.0,0.0,0.0,0.0,0,bottom,1,0,1,1,1
test/Bad Heel/Bad Heel (116).jpg,0,bad_heel,55.434,74.296,144.889,0.8133,19.119,-141.606,0.6146,124.566,129.376,129.376,0,0.0,0.0,0.0,0.0,0,bottom,1,0,1,1,1
test/Bad Heel/Bad Heel (117).jpg,0,bad_heel,53.195,71.406,142.398,0.8276,24.286,-136.44,0.9287,126.805,129.325,129.325,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (118).jpg,0,bad_heel,50.152,68.633,141.06,0.8474,19.207,-141.518,0.9836,129.848,130.68,130.68,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (119).jpg,0,bad_heel,49.905,68.166,140.252,0.843,19.783,-140.942,1.1616,130.095,129.584,130.095,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (12).jpg,0,bad_heel,56.197,70.939,146.059,1.1214,23.638,-137.087,0.6509,123.803,124.742,124.742,0,0.0,0.0,0.0,0.0,0,bottom,0,0,1,1,1
test/Bad Heel/Bad Heel (120).jpg,0,bad_heel,49.675,69.133,139.603,0.8478,22.412,-138.313,1.1907,130.325,130.902,130.902,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (121).jpg,0,bad_heel,51.267,70.868,141.237,0.8302,23.389,-137.336,0.7348,128.733,131.998,131.998,0,0.0,0.0,0.0,0.0,0,bottom,1,0,1,1,1
test/Bad Heel/Bad Heel (122).jpg,0,bad_heel,52.398,72.014,143.067,0.8293,24.435,-136.29,1.1716,127.602,127.073,127.602,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (123).jpg,0,bad_heel,56.175,74.46,141.998,0.8397,24.825,-135.9,0.9238,123.825,125.975,125.975,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (124).jpg,0,bad_heel,56.675,75.593,144.304,0.8533,21.428,-139.297,0.9956,123.325,122.161,123.325,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (125).jpg,0,bad_heel,59.182,76.827,140.928,0.8663,25.718,-135.007,0.7993,120.818,123.334,123.334,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (126).jpg,0,bad_heel,65.417,82.568,143.942,0.8385,24.751,-135.974,0.9375,114.583,111.182,114.583,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (127).jpg,0,bad_heel,69.862,85.829,145.622,0.8587,24.552,-136.174,0.8378,110.138,111.886,111.886,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (128).jpg,0,bad_heel,72.837,86.492,145.533,0.864,22.958,-137.767,0.8914,107.163,106.974,107.163,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (129).jpg,0,bad_heel,77.59,91.894,147.003,0.8851,25.252,-135.473,0.8751,102.41,102.782,102.782,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (13).jpg,0,bad_heel,54.535,71.272,146.826,1.1164,26.659,-134.066,0.6512,125.465,125.845,125.845,0,0.0,0.0,0.0,0.0,0,bottom,0,0,1,1,1
test/Bad Heel/Bad Heel (130).jpg,0,bad_heel,82.476,96.648,148.742,0.8773,24.479,-136.246,0.9485,97.524,98.231,98.231,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (131).jpg,0,bad_heel,88.486,85.084,134.577,0.8966,14.56,-146.165,0.9487,91.514,89.948,91.514,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (132).jpg,0,bad_heel,86.925,84.634,135.384,0.8889,16.348,-144.378,0.9636,93.075,92.743,93.075,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (133).jpg,0,bad_heel,87.315,84.373,135.762,0.8592,18.022,-142.704,1.0162,92.685,91.693,92.685,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (134).jpg,0,bad_heel,80.795,75.955,131.113,0.8893,15.847,-144.878,0.8011,99.205,98.158,99.205,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (135).jpg,0,bad_heel,80.842,74.659,129.453,0.864,19.125,-141.601,0.9112,99.158,99.333,99.333,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (136).jpg,0,bad_heel,78.722,71.036,127.329,0.8674,18.144,-142.582,0.7526,101.278,98.068,101.278,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (137).jpg,0,bad_heel,76.764,69.79,126.96,0.8773,17.141,-143.584,0.8421,103.236,102.353,103.236,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (138).jpg,0,bad_heel,75.519,68.602,126.817,0.8692,16.727,-143.998,0.775,104.481,105.31,105.31,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (139).jpg,0,bad_heel,73.629,66.349,125.795,0.8839,18.918,-141.807,0.7016,106.371,106.046,106.371,0,0.0,0.0,0.0,0.0,0,bottom,1,0,1,1,1
test/Bad Heel/Bad Heel (14).jpg,0,bad_heel,54.823,71.343,145.831,1.1155,25.48,-135.245,0.6228,125.177,127.722,127.722,0,0.0,0.0,0.0,0.0,0,bottom,0,0,1,1,1
test/Bad Heel/Bad Heel (140).jpg,0,bad_heel,71.875,64.305,123.419,0.8867,17.327,-143.398,0.8004,108.125,107.978,108.125,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (141).jpg,0,bad_heel,71.144,64.194,123.135,0.889,16.837,-143.889,0.8843,108.856,107.002,108.856,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (142).jpg,0,bad_heel,75.269,68.0,125.905,0.8504,16.236,-144.49,0.9833,104.731,102.484,104.731,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (143).jpg,0,bad_heel,72.796,67.588,126.445,0.8666,16.624,-144.101,0.8447,107.204,106.197,107.204,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (144).jpg,0,bad_heel,73.078,69.608,128.281,0.85,17.438,-143.287,0.9496,106.922,103.833,106.922,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (145).jpg,0,bad_heel,70.706,68.103,127.663,0.8732,14.076,-146.649,0.7635,109.294,109.383,109.383,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (146).jpg,0,bad_heel,71.085,69.691,129.632,0.8571,15.221,-145.504,0.8646,108.915,106.309,108.915,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (147).jpg,0,bad_heel,71.086,69.852,129.447,0.865,14.883,-145.842,0.8909,108.914,106.927,108.914,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (148).jpg,0,bad_heel,73.054,72.506,130.849,0.8758,13.355,-147.37,1.0806,106.946,99.978,106.946,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (149).jpg,0,bad_heel,81.095,82.906,138.484,0.8486,17.135,-143.59,1.1883,98.905,94.299,98.905,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (15).jpg,0,bad_heel,54.992,72.021,146.695,1.1371,24.126,-136.599,0.5587,125.008,127.649,127.649,0,0.0,0.0,0.0,0.0,0,bottom,0,0,1,1,1
test/Bad Heel/Bad Heel (150).jpg,0,bad_heel,83.617,86.95,140.296,0.86,16.682,-144.044,0.9814,96.383,93.059,96.383,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (151).jpg,0,bad_heel,81.309,84.14,136.847,0.9022,18.273,-142.452,0.9213,98.691,95.31,98.691,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Bad Heel/Bad Heel (152).jpg,0,bad_heel,84.976,88.245,139.262,0.9071,15.348,-145.378,1.0334,95.024,88.514,95.024,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
test/Good/Good (1).jpg,0,good,60.255,67.693,141.968,1.0751,0.644,-160.082,1.1227,119.745,109.149,119.745,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Good/Good (10).jpg,0,good,73.197,75.953,130.729,1.348,1.697,-159.028,0.8731,106.803,102.519,106.803,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Good/Good (100).jpg,0,good,60.034,61.432,133.211,1.0967,0.858,-159.867,1.3483,119.966,113.391,119.966,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Good/Good (101).jpg,0,good,57.356,59.668,132.799,1.0936,3.565,-157.16,1.499,122.644,111.041,122.644,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Good/Good (102).jpg,0,good,55.899,58.3,131.709,1.0883,2.126,-158.6,1.2576,124.101,115.45,124.101,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Good/Good (103).jpg,0,good,56.841,59.165,134.048,1.0623,2.065,-158.66,1.1644,123.159,111.651,123.159,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Good/Good (104).jpg,0,good,56.97,58.755,132.138,1.0786,1.11,-159.615,1.1407,123.03,112.22,123.03,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Good/Good (105).jpg,0,good,53.265,56.758,131.726,1.1271,3.411,-157.314,1.2501,126.735,119.814,126.735,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Good/Good (106).jpg,0,good,59.774,63.35,136.276,1.0576,2.238,-158.487,1.3387,120.226,110.919,120.226,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Good/Good (107).jpg,0,good,86.586,77.478,124.877,0.7511,2.163,-158.562,0.9753,93.414,86.983,93.414,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
